budget,id,original_language,original_title,popularity,revenue,status,vote_average,vote_count
35000000,8065,en,21,8.33756,69823199.0,Released,6.5,1406.0
0,23476,en,Without Evidence,2.083168,0.0,Released,4.7,7.0
0,47084,en,Little Dorrit,0.583234,0.0,Released,7.5,8.0
0,125958,en,The Blood Oranges,0.325084,0.0,Released,6.0,1.0
13000000,9816,en,Save the Last Dance,4.794088,91038276.0,Released,6.3,359.0
0,4461,en,Decision Before Dawn,1.030026,0.0,Released,5.6,12.0
31500000,302156,en,Criminal,10.038581,14708696.0,Released,5.8,566.0
8256269,14527,en,Foolproof,7.474007,460978.0,Released,6.3,49.0
12000000,1360,en,Frida,11.283472,56298474.0,Released,7.3,397.0
0,300532,en,Unabomber: The True Story,0.41938,0.0,Released,6.0,3.0
0,218351,en,The Girl Said No,0.468959,0.0,Released,6.0,1.0
0,104275,cs,"Kyvadlo, jáma a nadeje",0.755721,0.0,Released,7.1,7.0
0,40600,en,Hot Moves,0.78957,0.0,Released,5.0,4.0
8555500,330764,fr,Le tout nouveau testament,6.488451,0.0,Released,6.4,435.0
0,27273,en,The Flight of Dragons,2.370931,0.0,Released,7.0,20.0
0,56947,it,La crise,0.794746,0.0,Released,7.7,14.0
20000000,11511,en,Kazaam,8.962892,0.0,Released,3.6,60.0
0,226936,it,Aspirante vedovo,4.195326,0.0,Released,4.5,84.0
0,15372,en,Jimmy Carr: Comedian,0.62228,0.0,Released,7.4,9.0
0,7210,de,Hardcover,0.512893,0.0,Released,5.5,2.0
114,88478,en,Any Questions for Ben?,1.031792,0.0,Released,6.2,9.0
0,20898,ru,Volshebnaya Lampa Aladdina,1.202725,0.0,Released,5.4,4.0
0,8430,it,Il Messia,0.016421,0.0,Released,6.3,4.0
0,78566,fr,Ritornano quelli della calibro 38,0.00068,0.0,Released,0.0,0.0
0,26126,en,Disco Pigs,2.421159,0.0,Released,5.8,19.0
20000000,9842,en,School for Scoundrels,10.725567,17807569.0,Released,5.6,112.0
0,240913,en,Non-Stop,1.742471,0.0,Released,5.7,17.0
0,68636,es,Mas Negro que la Noche,0.97968,0.0,Released,5.9,8.0
58000000,24438,en,Did You Hear About the Morgans?,7.323405,85280250.0,Released,5.1,281.0
0,875,en,Shanghai Express,2.085774,0.0,Released,6.5,37.0
0,167966,en,Voices from the List,0.154035,0.0,Released,6.4,4.0
0,59065,en,Route Irish,2.005383,0.0,Released,6.5,21.0
0,43102,fr,Les liaisons dangereuses,0.651211,0.0,Released,6.0,10.0
0,27521,en,The Boys in Company C,1.690559,0.0,Released,6.2,29.0
5000000,284293,en,Still Alice,8.823253,43884652.0,Released,7.5,1126.0
12000000,129850,zh,消失的子弹,1.675406,117629.0,Released,6.0,21.0
0,153774,it,Il futuro,1.051148,13983.0,Released,5.7,9.0
25000000,13252,en,Cleaner,8.351152,0.0,Released,5.9,201.0
0,49789,en,Priest of Love,0.007809,0.0,Released,0.0,0.0
0,135708,en,Nature Calls,1.442686,0.0,Released,3.9,12.0
3000000,19980,hi,99,0.328668,6600000.0,Released,5.6,5.0
0,9803,de,7 Zwerge - Männer allein im Wald,4.582736,0.0,Released,5.2,70.0
0,850,en,A Christmas Story,7.337907,19294144.0,Released,7.4,352.0
0,125550,fa,دو زن,0.051111,0.0,Released,4.0,1.0
0,294409,en,Hollywood Without Make-Up,0.347774,0.0,Released,6.0,1.0
0,294795,en,The 9th Life of Louis Drax,8.602488,0.0,Released,6.5,128.0
0,44303,en,Higglety Pigglety Pop! or There Must Be More to Life,0.498117,0.0,Released,5.0,1.0
17000000,46429,en,Gallowwalkers,5.643051,0.0,Released,4.0,137.0
0,80572,en,Intruder in the Dust,2.038165,0.0,Released,7.8,4.0
0,31407,pl,Miś.,0.759427,0.0,Released,7.8,12.0
0,425916,en,Salad Fingers,0.141367,0.0,Released,8.5,4.0
0,54243,en,Kart Racer,0.700658,0.0,Released,3.8,2.0
0,68482,en,Tanya's Island,0.689222,0.0,Released,6.0,3.0
0,257044,en,Game For Vultures,0.810999,0.0,Released,2.5,2.0
0,15771,en,Class Action,5.234298,0.0,Released,6.4,37.0
0,23752,en,The Couch Trip,1.264947,0.0,Released,5.3,28.0
0,33436,fr,Le Cerveau,3.574703,0.0,Released,7.1,37.0
0,291224,pl,Jak dziala jamniczek,0.003921,0.0,Released,7.0,3.0
0,10340,en,Lady and the Tramp,12.994387,93600000.0,Released,6.9,1241.0
20000000,13497,en,Drumline,5.270187,57588485.0,Released,6.2,118.0
210,5153,it,Cabiria,0.704028,0.0,Released,6.8,22.0
12000000,96399,en,For Greater Glory - The True Story of Cristiada,4.482331,9622846.0,Released,6.4,35.0
0,83613,en,Hellgate,0.001021,0.0,Released,2.9,15.0
0,123224,en,Felipe Esparza: They're Not Gonna Laugh At You,0.012939,0.0,Released,0.0,0.0
1000000,112456,en,Hardflip,0.236664,0.0,Released,4.7,5.0
0,41023,en,Dead Men Walk,0.48079,0.0,Released,4.6,4.0
15000000,24546,en,Into the Sun,3.607833,0.0,Released,4.2,38.0
0,17809,en,Jing wu ying xiong,5.986773,1907743.0,Released,7.4,118.0
0,82688,en,El Bulli: Cooking in Progress,0.119766,0.0,Released,5.0,3.0
0,101806,en,The Mad Doctor,1.85122,0.0,Released,7.5,12.0
0,83827,pt,Noite Escura,0.428643,0.0,Released,6.3,4.0
0,43457,en,Winter Meeting,0.006296,0.0,Released,0.0,0.0
0,37060,de,Das Rad,0.615096,0.0,Released,7.1,12.0
0,54487,ru,Cane Toads: The Conquest,0.295907,0.0,Rumored,6.8,8.0
0,26661,en,Abbott and Costello Meet the Mummy,4.656016,0.0,Released,6.4,25.0
100000000,9268,en,Eraser,6.919314,242295562.0,Released,5.6,553.0
0,36096,en,Lucifer Rising,1.303516,0.0,Released,7.4,18.0
1150000,84942,en,The Watermen,0.896197,0.0,Released,3.3,14.0
0,346570,en,Perfect High,1.500092,0.0,Released,5.6,17.0
0,5471,en,Beowulf & Grendel,5.606454,92076.0,Released,6.1,62.0
0,39016,en,Living It Up,0.449448,0.0,Released,7.8,4.0
42000000,64688,en,21 Jump Street,11.250764,201585328.0,Released,6.7,4151.0
0,150049,fr,Les nouveaux chiens de garde,0.868468,0.0,Released,7.4,13.0
70000000,201088,en,Blackhat,14.932368,17752940.0,Released,5.1,842.0
0,84328,en,Red Hook Summer,1.134888,0.0,Released,6.7,7.0
30000000,2907,en,The Addams Family,12.962525,191502426.0,Released,6.7,871.0
0,283589,hi,Bang Bang!,5.558673,0.0,Released,6.3,75.0
0,77029,it,La morte cammina con i tacchi alti,1.264036,0.0,Released,6.7,9.0
0,43821,en,The Return of Frank James,0.654195,0.0,Released,6.2,10.0
0,408219,en,Population Zero,0.939939,0.0,Released,5.0,10.0
0,140161,en,V: The Final Battle,3.126689,0.0,Released,7.3,33.0
0,115276,en,Pusher,6.532164,0.0,Released,5.3,38.0
0,119694,en,The Sunshine Boys,0.474328,0.0,Released,4.5,4.0
0,1811,en,Nowhere,3.324489,27354.0,Released,6.3,27.0
0,21410,ja,座頭市の歌が聞える,1.133042,0.0,Released,5.6,7.0
30000000,18916,fr,L'Emmerdeur,1.644817,0.0,Released,5.4,8.0
0,7500,ja,Sonatine,5.167934,0.0,Released,7.3,91.0
0,27966,en,King of the Underworld,1.080246,0.0,Released,6.4,5.0
0,12130,zh,黑眼圈,0.889404,0.0,Released,8.1,7.0
0,253277,en,Sequoia,1.415578,0.0,Released,6.3,3.0
0,59051,en,Dark Angel: The Ascent,0.312543,0.0,Released,4.7,6.0
3100000,408194,fi,Tulen morsian,3.55628,0.0,Released,6.6,8.0
0,25381,en,Night Passage,1.68548,0.0,Released,5.7,14.0
0,69915,en,Sikumi (On The Ice),0.130241,0.0,Released,5.0,2.0
0,109463,de,Die Farbe,1.206502,0.0,Released,5.9,7.0
0,83505,es,El Bonaerense,0.695413,0.0,Released,7.2,10.0
200000,14301,en,Dr. Horrible's Sing-Along Blog,8.927994,3.0,Released,7.8,236.0
0,168179,ka,პასტორალი,0.294605,0.0,Released,5.4,5.0
11000000,12149,en,Frailty,7.397953,13110448.0,Released,7.0,338.0
0,77439,en,Where The Road Meets The Sun,0.231304,0.0,Released,4.3,2.0
0,51871,fr,Rumba,0.584246,0.0,Released,5.6,7.0
0,17978,en,The Great White Hope,1.653084,0.0,Released,5.0,6.0
0,173557,en,The Seven Year Hitch,1.598135,0.0,Released,5.2,14.0
0,73541,en,You Should Meet My Son!,0.573313,0.0,Released,5.9,10.0
0,64694,es,"No eres tú, soy yo",0.55308,0.0,Released,5.8,13.0
12000000,333596,en,Woodlawn,3.216606,14394097.0,Released,6.8,49.0
2500,13209,fa,Offside,1.529879,0.0,Released,6.7,27.0
0,59142,it,You Can't Run Away from It,0.060995,0.0,Released,5.0,1.0
0,12576,en,Deathwatch,4.766826,2270658.0,Released,5.9,59.0
0,246133,en,Entertainment,1.311874,0.0,Released,5.2,21.0
0,16407,cn,Dragon Lord,4.068513,0.0,Released,6.1,22.0
0,82406,ko,식객,0.157941,0.0,Released,5.0,3.0
10000000,10493,en,Dead Calm,13.464246,7825000.0,Released,6.6,178.0
0,103198,en,Unspeakable Acts,0.000603,0.0,Released,3.5,4.0
0,54796,en,Thicker than Water,0.119372,0.0,Released,5.5,2.0
0,22694,en,The Trip,1.338485,0.0,Released,5.8,18.0
0,65049,en,Submarine X-1,0.565796,0.0,Released,5.3,5.0
0,13794,en,Africa: The Serengeti,1.649097,0.0,Released,5.9,9.0
0,35074,en,Dinoshark,1.681603,0.0,Released,4.4,13.0
0,183962,fr,Cran d'arrêt,0.411043,0.0,Released,7.5,1.0
0,44796,en,Arena,0.773352,0.0,Released,4.8,12.0
0,125217,ja,幕末太陽傳,1.218546,0.0,Released,5.0,1.0
0,348320,nl,Sneekweek,0.959927,0.0,Released,4.4,9.0
0,27590,en,Gotcha!,6.086982,8800000.0,Released,6.1,47.0
0,103894,en,Thieves By Law,0.171242,0.0,Released,7.7,3.0
0,336736,en,Chris D'Elia: Incorrigible,0.684656,0.0,Released,4.9,8.0
500000,40769,en,Mutual Appreciation,0.3671,0.0,Released,6.1,8.0
6000000,87818,en,Movie 43,10.895427,32438988.0,Released,4.5,816.0
0,36772,fi,Koeputkiaikuinen ja Simon enkelit,0.000308,0.0,Released,5.8,4.0
0,289097,en,Cell 213,2.68548,0.0,Released,5.1,18.0
0,158743,en,Computer Chess,2.826746,0.0,Released,6.3,37.0
0,95752,en,The Other Side of the Mountain: Part II,0.000578,0.0,Released,5.0,1.0
0,30163,fr,Les Fugitifs,3.041709,0.0,Released,6.7,61.0
0,94228,de,Das doppelte Lottchen,1.42614,0.0,Released,5.9,6.0
0,41240,en,Bastard Out of Carolina,1.403309,0.0,Released,7.3,19.0
0,18094,en,Anvil! The Story of Anvil,3.414041,0.0,Released,7.7,85.0
4000000,72881,en,I Walk the Line,0.775854,0.0,Released,5.7,9.0
0,238368,en,High Barbaree,0.376197,0.0,Released,6.0,1.0
0,345468,en,Contracted: Phase II,2.478457,0.0,Released,5.3,48.0
0,32761,de,Der siebente Kontinent,5.694032,0.0,Released,7.6,65.0
0,29126,en,Black Moon,0.336935,0.0,Released,4.8,4.0
0,293850,en,The Magic of Heineken,0.329432,0.0,Released,0.0,0.0
0,35986,en,No Orchids for Miss Blandish,0.153413,0.0,Released,5.0,2.0
0,117422,en,Make Way For A Lady,0.100856,0.0,Released,5.0,2.0
0,418979,en,The Third Annual 'On Cinema' Oscar Special,0.020028,0.0,Released,0.0,0.0
0,401150,en,World Cinema,0.00353,0.0,Released,0.0,0.0
0,2894,fr,L'Anglaise et le duc,0.765716,0.0,Released,6.0,4.0
0,4882,en,A Bullet for Pretty Boy,0.000603,0.0,Released,4.5,2.0
0,27105,en,Day of the Evil Gun,0.372015,0.0,Released,6.6,5.0
0,334918,fr,Les chevaliers blancs,1.148314,0.0,Released,5.8,15.0
0,2648,cn,新最佳拍檔,0.852792,0.0,Released,5.1,5.0
0,301566,en,Too Many Cooks,1.272698,0.0,Released,8.5,24.0
0,67183,it,Paganini Horror,0.974416,0.0,Released,3.0,4.0
0,210024,en,An Adventure in Space and Time,5.541556,0.0,Released,7.7,68.0
12000000,226672,en,Legendary: Tomb of the Dragon,6.554194,0.0,Released,4.0,22.0
20000000,50671,en,The Resident,5.47578,0.0,Released,5.3,168.0
20000000,9414,en,The Man Who Knew Too Little,4.827771,13801755.0,Released,6.5,126.0
17900000,9626,en,Red Sonja,10.014248,6948633.0,Released,5.0,211.0
35000000,4148,en,Revolutionary Road,12.265867,75225693.0,Released,6.8,824.0
0,22701,en,Attack from Space,0.237749,0.0,Released,5.0,1.0
0,145,da,Breaking the Waves,8.558688,3803298.0,Released,7.2,213.0
0,28478,es,Gordos,1.102802,0.0,Released,5.6,14.0
0,264482,ru,Trinadtsat,0.197008,0.0,Released,5.5,2.0
0,32683,en,The Flapper,0.071809,0.0,Released,6.5,2.0
16500000,33166,en,Downhill Racer,2.550124,0.0,Released,6.1,24.0
230000000,166426,en,Pirates of the Caribbean: Dead Men Tell No Tales,133.82782,794191988.0,Released,6.6,2814.0
0,58102,en,Some Mother's Son,0.332582,0.0,Released,7.0,6.0
0,79343,fr,Les fourmis rouges,0.04033,0.0,Released,7.5,1.0
0,101791,en,Elfie Hopkins,1.134073,0.0,Released,5.5,13.0
0,376424,en,Beware the Slenderman,2.231686,0.0,Released,6.0,43.0
0,37923,en,Last Embrace,1.483958,0.0,Released,5.8,16.0
20000000,17182,en,Eye for an Eye,4.733526,0.0,Released,5.8,65.0
0,107073,es,El Premio,0.175473,0.0,Released,5.9,4.0
100000,31261,en,Halo Legends,1.731527,1000000.0,Released,6.9,25.0
0,220820,en,Blood of Redemption,4.314918,0.0,Released,5.3,17.0
0,20778,fr,Le Doulos,2.401164,0.0,Released,7.4,40.0
0,265297,fr,Le sel de la terre,5.154091,1059804.0,Released,8.1,146.0
0,33205,ja,どですかでん,1.696371,0.0,Released,6.7,22.0
9000000,9400,en,Set It Off,6.85606,41590886.0,Released,6.9,66.0
0,219808,en,Despiser,0.28351,0.0,Released,5.0,1.0
0,275696,en,3 Nights in the Desert,1.787325,0.0,Released,4.4,20.0
0,9460,cn,黑侠,7.632785,0.0,Released,5.8,55.0
0,279543,ru,Старшая сестра,0.176865,0.0,Released,6.5,2.0
110000000,53182,en,300: Rise of an Empire,12.904677,337580051.0,Released,6.1,2438.0
0,25536,cn,PTU,3.461469,0.0,Released,6.7,30.0
840000,394499,pt,Porta dos Fundos: Contrato Vitalício,1.357903,0.0,Released,4.3,19.0
0,47423,cn,纵横四海,7.625338,4303351.0,Released,6.7,28.0
0,36880,de,Wodaabe - Die Hirten der Sonne. Nomaden am Südrand der Sahara,0.012758,0.0,Released,8.0,5.0
100000000,16523,en,Where the Wild Things Are,12.36223,100086793.0,Released,6.4,580.0
0,26679,en,Spookies,1.063636,0.0,Released,4.1,10.0
0,2609,en,"Planes, Trains and Automobiles",9.420183,49230280.0,Released,7.1,567.0
0,419037,en,Kurt Braunohler: Trust Me,0.410664,0.0,Released,7.0,1.0
0,357935,en,Forbidden Area,0.451961,0.0,Released,6.0,1.0
2640000,85047,en,"London, Paris, New York",0.33515,0.0,Released,8.0,1.0
0,1942,en,Bunny Lake Is Missing,11.74416,0.0,Released,6.6,35.0
0,75301,en,Being Elmo: A Puppeteer's Journey,6.94881,286201.0,Released,7.4,62.0
0,52616,en,Pavilion of Women,0.501948,0.0,Released,5.3,6.0
1000000,367006,en,Seasick,0.016713,0.0,Released,0.0,0.0
0,105024,en,Stone Reader,0.41558,0.0,Released,7.3,3.0
0,121929,es,De jueves a domingo,0.187853,0.0,Released,7.0,5.0
0,52868,en,House IV,0.821998,0.0,Released,3.6,15.0
0,206390,en,Tösen från Stormyrtorpet,0.001276,0.0,Released,0.0,0.0
0,289333,en,Jim Jefferies: BARE,1.62502,0.0,Released,7.7,35.0
0,116146,pt,"Iracema, Uma Transa Amazônica",0.002001,0.0,Released,6.5,2.0
8500000,16353,th,Ong Bak 2,8.553506,8936663.0,Released,5.9,156.0
9000000,6521,en,The Contender,15.072042,0.0,Released,6.7,61.0
0,47854,cn,Jing wu feng yun: Chen Zhen,6.183418,48398.0,Released,6.0,73.0
0,60676,en,Wesley Willis: The Daddy of Rock 'n' Roll,0.002361,0.0,Released,0.0,0.0
0,250114,en,Nick Offerman: American Ham,1.234448,0.0,Released,6.8,15.0
1100000,12818,en,Everybody Wants to Be Italian,0.5455,0.0,Released,5.5,7.0
90000000,10528,en,Sherlock Holmes,15.68604,524028679.0,Released,7.0,5883.0
0,23504,en,Robotech: The Movie,0.002001,0.0,Released,4.0,1.0
0,128061,nl,De ontmaagding van Eva van End,0.163281,0.0,Released,4.5,3.0
79000000,71880,en,Jack and Jill,6.620033,149673788.0,Released,4.0,619.0
0,32023,en,Son of Dracula,5.343065,0.0,Released,6.8,16.0
0,15152,fr,"OSS 117 : Le Caire, nid d'espions",6.926251,0.0,Released,7.2,342.0
0,117345,hi,मस्त,0.49691,0.0,Released,4.3,3.0
0,221444,en,Septic Man,0.762328,0.0,Released,4.7,9.0
0,55848,fr,Lancelot du Lac,0.362866,0.0,Released,5.6,16.0
0,39358,en,London River,3.176543,0.0,Released,6.2,21.0
1400000,148077,en,Lieksa!,0.271386,435000.0,Released,5.3,3.0
1200000,24153,en,The Buddy Holly Story,2.017413,14363400.0,Released,7.5,33.0
0,65015,en,Sweetie,0.880755,0.0,Released,4.9,15.0
0,10943,en,The Gathering,3.969121,0.0,Released,5.1,39.0
0,42136,en,The Grey Fox,0.192513,0.0,Released,7.2,5.0
0,208284,fr,L'étrange couleur des larmes de ton corps,1.998366,7182.0,Released,6.0,41.0
0,8995,de,c[r]ook,1.151656,0.0,Released,6.4,9.0
0,3077,en,Son of Frankenstein,3.563588,0.0,Released,7.0,42.0
0,88107,en,Double Trouble,1.678869,0.0,Released,5.1,7.0
0,38953,en,Ryan's Daughter,4.340461,0.0,Released,7.6,24.0
0,121111,en,The Telephone Book,1.173717,0.0,Released,5.1,6.0
0,24563,en,Mars Needs Women,0.482867,0.0,Released,3.4,5.0
0,322434,fr,La cérémonie,0.621568,0.0,Released,7.0,1.0
0,56798,it,Il mestiere delle armi,0.915968,0.0,Released,5.9,8.0
0,72111,en,The Ghost of Flight 401,0.398015,0.0,Released,4.3,3.0
0,39041,en,The Conrad Boys,0.563318,0.0,Released,5.3,9.0
4500000,65212,en,The Silver Chalice,0.313032,3200000.0,Released,4.1,5.0
0,31275,en,The Creeping Terror,0.47805,0.0,Released,2.1,7.0
0,39988,it,L'ultimo treno della notte,1.190145,0.0,Released,5.8,14.0
0,34138,en,Night Of The Twisters,1.323659,0.0,Released,4.5,14.0
0,336806,sv,Efterskalv,1.416633,0.0,Released,6.2,10.0
0,400552,de,Happy Burnout,1.340083,0.0,Released,5.3,3.0
0,343304,fr,Sex in the Comix,0.601682,0.0,Released,5.7,3.0
0,73351,en,Shadrach,0.532294,0.0,Released,6.6,4.0
0,421851,en,Michael Moore in TrumpLand,1.585725,0.0,Released,6.3,35.0
0,282983,es,Magical Girl,2.341779,0.0,Released,7.6,47.0
0,46793,cs,Stíny horkého léta,0.070239,0.0,Released,6.0,2.0
0,39787,en,Jacknife,8.158307,0.0,Released,6.1,28.0
0,35572,mr,Harishchandrachi Factory,0.261998,0.0,Released,6.3,6.0
0,51831,fr,The Minion,0.483399,0.0,Released,4.8,6.0
120000000,166424,en,Fantastic Four,17.246484,167977596.0,Released,4.4,2322.0
0,1549,fr,L'Esquive,1.942173,0.0,Released,7.5,31.0
0,384289,en,Peter and the Farm,0.754566,0.0,Released,7.8,4.0
0,43313,en,The Teahouse of the August Moon,0.678003,0.0,Released,6.1,8.0
0,173151,es,El chocolate del loro,0.028043,0.0,Released,0.0,0.0
65000,43120,en,Missile to the Moon,0.565431,0.0,Released,3.7,3.0
0,139718,en,The Phynx,0.596273,0.0,Released,3.0,1.0
0,411711,en,The Last Gold,2.3e-05,0.0,Released,0.0,0.0
6000000,326215,en,Ooops! Noah is Gone...,6.845062,0.0,Released,5.8,71.0
0,106259,ru,Падение Берлина,0.066657,0.0,Released,5.0,1.0
0,1882,en,The Men,5.670881,0.0,Released,6.5,18.0
0,69780,en,The Beach Girls and the Monster,0.358309,0.0,Released,2.6,7.0
0,53406,en,By the Sea,0.577051,0.0,Released,5.4,14.0
0,11520,en,Grumpy Old Men,7.529482,0.0,Released,6.5,176.0
0,326333,hu,"Liza, a rókatündér",2.631047,0.0,Released,7.4,30.0
0,31609,en,Cheech & Chong Get Out of My Room,4.61363,0.0,Released,5.2,12.0
12000000,26142,en,The Doctor,8.337242,38120905.0,Released,6.6,24.0
0,9711,en,Species III,7.711755,0.0,Released,4.6,76.0
0,377290,sv,Den allvarsamma leken,1.052459,0.0,Released,8.0,2.0
0,198521,en,Sweet Revenge,0.531228,0.0,Released,7.8,4.0
0,60662,en,Fifteen and Pregnant,0.617702,0.0,Released,5.1,9.0
0,74661,nl,De onfatsoenlijke vrouw,3.403166,0.0,Released,5.8,6.0
0,146045,et,Sügis,0.236258,0.0,Released,0.0,0.0
0,40669,en,Jump London,0.009164,0.0,Released,0.0,0.0
40000000,106143,en,I'll Do Anything,1.742974,0.0,Released,5.7,18.0
0,244418,en,The Bear,0.353172,0.0,Released,6.0,1.0
50000000,66,en,Absolute Power,7.66124,50068310.0,Released,6.4,226.0
0,272692,en,The Possession of Michael King,3.964299,0.0,Released,5.7,129.0
20000000,16690,en,Return to Never Land,8.759774,109862682.0,Released,6.1,304.0
0,219572,cn,警察故事2013,11.982088,81170000.0,Released,5.8,92.0
0,35017,en,The Brothers Rico,7.18577,0.0,Released,5.7,9.0
0,40785,sv,Underbara Älskade,0.778744,0.0,Released,4.8,5.0
0,321228,tr,"Remake, Remix, Rip-Off: About Copy Culture & Turkish Pop Cinema",0.254341,0.0,Released,5.5,2.0
0,60015,fr,Novo,1.955932,0.0,Released,6.4,10.0
120,37218,en,For the Moment,0.347124,0.0,Released,7.4,3.0
0,29069,en,The Velvet Vampire,1.132207,0.0,Released,3.9,7.0
0,56778,en,Blue Vinyl,0.152845,0.0,Released,6.0,3.0
0,92506,en,Four Horsemen,0.394626,0.0,Released,7.2,10.0
0,410554,en,First Kill,7.874102,0.0,Released,5.2,38.0
0,77287,en,The Householder,0.00213,0.0,Released,0.0,0.0
0,50090,ko,의형제,1.209968,0.0,Released,6.1,27.0
0,16428,en,Breakin' All the Rules,5.414749,0.0,Released,5.8,21.0
0,312796,en,The Squeeze,0.816541,0.0,Released,4.8,6.0
0,161073,fr,Mariage à Mendoza,1.007559,0.0,Released,5.0,6.0
0,47657,en,The Last Minute,0.689795,0.0,Released,5.2,5.0
0,61330,en,Please Remove Your Shoes,0.165904,0.0,Released,5.8,3.0
0,24799,en,Wolvesbayne,3.584192,0.0,Released,3.8,15.0
0,16465,en,Le chaudron infernal,0.262724,0.0,Released,6.5,12.0
0,430250,en,City of Dead Men,2.667953,0.0,Released,4.8,13.0
0,22826,it,Il mostro,4.700084,0.0,Released,6.8,126.0
0,348601,en,Bridget Everett: Gynecological Wonder,0.104703,0.0,Released,0.0,0.0
0,60608,en,Comment j'ai tué mon père,1.811615,0.0,Released,6.3,3.0
0,33710,en,Paris Blues,2.073112,0.0,Released,5.1,10.0
0,4975,en,Love Is the Devil: Study for a Portrait of Francis Bacon,1.354102,0.0,Released,6.7,19.0
0,27583,en,Greenberg,8.509231,6153967.0,Released,6.0,163.0
0,13023,en,The Devil Came on Horseback,0.431719,0.0,Released,7.9,11.0
0,56191,ja,Iria: Zeiram the Animation,0.134957,0.0,Released,8.0,3.0
0,12588,de,Mein Freund aus Faro,1.107327,0.0,Released,5.8,3.0
275000,227196,en,Freedom Park,0.003324,0.0,Released,0.0,0.0
